"global_step","251221_A2C - train/final_neg_count","251221_A2C - train/final_neg_count__MIN","251221_A2C - train/final_neg_count__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"209000","14","14","14","417","417","417"
"209500","3","3","3","418","418","418"
"210000","11","11","11","419","419","419"
"210500","3","3","3","420","420","420"
"211000","10","10","10","421","421","421"
"211500","15","15","15","422","422","422"
"212000","13","13","13","423","423","423"
"212500","9","9","9","424","424","424"
"213000","15","15","15","425","425","425"
"213500","5","5","5","426","426","426"
"214000","5","5","5","427","427","427"
"214500","14","14","14","428","428","428"
"215000","5","5","5","429","429","429"
"215500","8","8","8","430","430","430"
"216000","7","7","7","431","431","431"
"216500","7","7","7","432","432","432"
"217000","3","3","3","433","433","433"
"217500","3","3","3","434","434","434"
"218000","6","6","6","435","435","435"
"218500","7","7","7","436","436","436"
"219000","4","4","4","437","437","437"
"219500","3","3","3","438","438","438"
"220000","9","9","9","439","439","439"
"220500","3","3","3","440","440","440"
"221000","8","8","8","441","441","441"
"221500","13","13","13","442","442","442"
"222000","10","10","10","443","443","443"
"222500","14","14","14","444","444","444"
"223000","3","3","3","445","445","445"
"223500","3","3","3","446","446","446"
"224000","3","3","3","447","447","447"
"224500","10","10","10","448","448","448"
"225000","10","10","10","449","449","449"
"225500","8","8","8","450","450","450"
"226000","3","3","3","451","451","451"
"226500","12","12","12","452","452","452"
"227000","4","4","4","453","453","453"
"227500","7","7","7","454","454","454"
"228000","11","11","11","455","455","455"
"228500","3","3","3","456","456","456"
"229000","3","3","3","457","457","457"
"229500","4","4","4","458","458","458"
"230000","11","11","11","459","459","459"
"230500","12","12","12","460","460","460"
"231000","7","7","7","461","461","461"
"231500","3","3","3","462","462","462"
"232000","3","3","3","463","463","463"
"232500","12","12","12","464","464","464"
"233000","13","13","13","465","465","465"
"233500","3","3","3","466","466","466"
"234000","4","4","4","467","467","467"
"234500","3","3","3","468","468","468"
"235000","7","7","7","469","469","469"
"235500","3","3","3","470","470","470"
"236000","5","5","5","471","471","471"
"236500","3","3","3","472","472","472"
"237000","5","5","5","473","473","473"
"237500","5","5","5","474","474","474"
"238000","5","5","5","475","475","475"
"238500","5","5","5","476","476","476"
"239000","5","5","5","477","477","477"
"239500","12","12","12","478","478","478"
"240000","6","6","6","479","479","479"
"240500","8","8","8","480","480","480"
"241000","15","15","15","481","481","481"
"241500","9","9","9","482","482","482"
"242000","7","7","7","483","483","483"
"242500","8","8","8","484","484","484"
"243000","3","3","3","485","485","485"
"243500","3","3","3","486","486","486"
"244000","11","11","11","487","487","487"
"244500","5","5","5","488","488","488"
"245000","15","15","15","489","489","489"
"245500","13","13","13","490","490","490"
"246000","10","10","10","491","491","491"
"246500","13","13","13","492","492","492"
"247000","3","3","3","493","493","493"
"247500","3","3","3","494","494","494"
"248000","12","12","12","495","495","495"
"248500","9","9","9","496","496","496"
"249000","3","3","3","497","497","497"
"249500","3","3","3","498","498","498"
"250000","3","3","3","499","499","499"
"250500","9","9","9","500","500","500"
"251000","6","6","6","501","501","501"
"251500","11","11","11","502","502","502"
"252000","9","9","9","503","503","503"
"252500","8","8","8","504","504","504"
