"global_step","251221_A2C - time/fps","251221_A2C - time/fps__MIN","251221_A2C - time/fps__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"285500","53","53","53","570","570","570"
"286000","53","53","53","571","571","571"
"286500","53","53","53","572","572","572"
"287000","53","53","53","573","573","573"
"287500","53","53","53","574","574","574"
"288000","53","53","53","575","575","575"
"288500","53","53","53","576","576","576"
"289000","53","53","53","577","577","577"
"289500","52","52","52","578","578","578"
"290000","52","52","52","579","579","579"
"290500","52","52","52","580","580","580"
"291000","52","52","52","581","581","581"
"291500","52","52","52","582","582","582"
"292000","52","52","52","583","583","583"
"292500","52","52","52","584","584","584"
"293000","52","52","52","585","585","585"
"293500","52","52","52","586","586","586"
"294000","52","52","52","587","587","587"
"294500","52","52","52","588","588","588"
"295000","52","52","52","589","589","589"
"295500","52","52","52","590","590","590"
"296000","52","52","52","591","591","591"
"296500","52","52","52","592","592","592"
"297000","52","52","52","593","593","593"
"297500","52","52","52","594","594","594"
"298000","52","52","52","595","595","595"
"298500","52","52","52","596","596","596"
"299000","52","52","52","597","597","597"
"299500","52","52","52","598","598","598"
"300000","52","52","52","599","599","599"
"300500","52","52","52","600","600","600"
"301000","52","52","52","601","601","601"
"301500","52","52","52","602","602","602"
"302000","52","52","52","603","603","603"
"302500","52","52","52","604","604","604"
"303000","52","52","52","605","605","605"
"303500","52","52","52","606","606","606"
"304000","52","52","52","607","607","607"
"304500","52","52","52","608","608","608"
"305000","52","52","52","609","609","609"
"305500","52","52","52","610","610","610"
"306000","52","52","52","611","611","611"
"306500","52","52","52","612","612","612"
"307000","52","52","52","613","613","613"
"307500","52","52","52","614","614","614"
"308000","53","53","53","615","615","615"
"308500","53","53","53","616","616","616"
"309000","53","53","53","617","617","617"
"309500","53","53","53","618","618","618"
"310000","53","53","53","619","619","619"
"310500","53","53","53","620","620","620"
"311000","53","53","53","621","621","621"
"311500","53","53","53","622","622","622"
"312000","53","53","53","623","623","623"
"312500","53","53","53","624","624","624"
"313000","53","53","53","625","625","625"
"313500","53","53","53","626","626","626"
"314000","53","53","53","627","627","627"
"314500","53","53","53","628","628","628"
"315000","53","53","53","629","629","629"
"315500","54","54","54","630","630","630"
"316000","54","54","54","631","631","631"
"316500","54","54","54","632","632","632"
"317000","54","54","54","633","633","633"
"317500","54","54","54","634","634","634"
"318000","54","54","54","635","635","635"
"318500","54","54","54","636","636","636"
"319000","54","54","54","637","637","637"
