"global_step","251221_A2C - train/final_feat_cross","251221_A2C - train/final_feat_cross__MIN","251221_A2C - train/final_feat_cross__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"152000","2.171949863433838","2.171949863433838","2.171949863433838","303","303","303"
"152500","1.9207011461257935","1.9207011461257935","1.9207011461257935","304","304","304"
"153000","1.8616459369659424","1.8616459369659424","1.8616459369659424","305","305","305"
"153500","2.1081900596618652","2.1081900596618652","2.1081900596618652","306","306","306"
"154000","2.2644667625427246","2.2644667625427246","2.2644667625427246","307","307","307"
"154500","2.5770232677459717","2.5770232677459717","2.5770232677459717","308","308","308"
"155000","2.053717851638794","2.053717851638794","2.053717851638794","309","309","309"
"155500","2.1003973484039307","2.1003973484039307","2.1003973484039307","310","310","310"
"156000","2.1731274127960205","2.1731274127960205","2.1731274127960205","311","311","311"
"156500","2.3024039268493652","2.3024039268493652","2.3024039268493652","312","312","312"
"157000","2.5315678119659424","2.5315678119659424","2.5315678119659424","313","313","313"
"157500","2.453620433807373","2.453620433807373","2.453620433807373","314","314","314"
"158000","2.0984885692596436","2.0984885692596436","2.0984885692596436","315","315","315"
"158500","2.1952836513519287","2.1952836513519287","2.1952836513519287","316","316","316"
"159000","2.1727957725524902","2.1727957725524902","2.1727957725524902","317","317","317"
"159500","1.992223858833313","1.992223858833313","1.992223858833313","318","318","318"
"160000","1.8957823514938354","1.8957823514938354","1.8957823514938354","319","319","319"
"160500","1.905012845993042","1.905012845993042","1.905012845993042","320","320","320"
"161000","1.8315303325653076","1.8315303325653076","1.8315303325653076","321","321","321"
"161500","1.6115283966064453","1.6115283966064453","1.6115283966064453","322","322","322"
"162000","2.1297810077667236","2.1297810077667236","2.1297810077667236","323","323","323"
"162500","1.8181637525558472","1.8181637525558472","1.8181637525558472","324","324","324"
"163000","2.272021770477295","2.272021770477295","2.272021770477295","325","325","325"
"163500","2.0699713230133057","2.0699713230133057","2.0699713230133057","326","326","326"
"164000","2.8517699241638184","2.8517699241638184","2.8517699241638184","327","327","327"
"164500","2.143397092819214","2.143397092819214","2.143397092819214","328","328","328"
"165000","1.864388108253479","1.864388108253479","1.864388108253479","329","329","329"
"165500","1.943401575088501","1.943401575088501","1.943401575088501","330","330","330"
"166000","1.2246428728103638","1.2246428728103638","1.2246428728103638","331","331","331"
"166500","2.017683744430542","2.017683744430542","2.017683744430542","332","332","332"
"167000","1.7887656688690186","1.7887656688690186","1.7887656688690186","333","333","333"
"167500","2.1528844833374023","2.1528844833374023","2.1528844833374023","334","334","334"
"168000","2.2214953899383545","2.2214953899383545","2.2214953899383545","335","335","335"
"168500","1.8775231838226318","1.8775231838226318","1.8775231838226318","336","336","336"
"169000","1.0580896139144897","1.0580896139144897","1.0580896139144897","337","337","337"
"169500","2.221914052963257","2.221914052963257","2.221914052963257","338","338","338"
"170000","1.997400164604187","1.997400164604187","1.997400164604187","339","339","339"
"170500","2.480242967605591","2.480242967605591","2.480242967605591","340","340","340"
"171000","1.922391653060913","1.922391653060913","1.922391653060913","341","341","341"
"171500","2.2016801834106445","2.2016801834106445","2.2016801834106445","342","342","342"
"172000","1.6219335794448853","1.6219335794448853","1.6219335794448853","343","343","343"
"172500","1.9699835777282715","1.9699835777282715","1.9699835777282715","344","344","344"
"173000","1.7955212593078613","1.7955212593078613","1.7955212593078613","345","345","345"
"173500","1.9412046670913696","1.9412046670913696","1.9412046670913696","346","346","346"
"174000","2.3382909297943115","2.3382909297943115","2.3382909297943115","347","347","347"
"174500","2.1522183418273926","2.1522183418273926","2.1522183418273926","348","348","348"
"175000","1.902654767036438","1.902654767036438","1.902654767036438","349","349","349"
"175500","2.078059434890747","2.078059434890747","2.078059434890747","350","350","350"
"176000","1.5388208627700806","1.5388208627700806","1.5388208627700806","351","351","351"
"176500","1.9765602350234985","1.9765602350234985","1.9765602350234985","352","352","352"
"177000","2.046422004699707","2.046422004699707","2.046422004699707","353","353","353"
"177500","1.8371484279632568","1.8371484279632568","1.8371484279632568","354","354","354"
"178000","2.0928683280944824","2.0928683280944824","2.0928683280944824","355","355","355"
"178500","1.9392558336257935","1.9392558336257935","1.9392558336257935","356","356","356"
"179000","2.2096352577209473","2.2096352577209473","2.2096352577209473","357","357","357"
"179500","2.551882028579712","2.551882028579712","2.551882028579712","358","358","358"
"180000","1.6775434017181396","1.6775434017181396","1.6775434017181396","359","359","359"
"180500","1.4735270738601685","1.4735270738601685","1.4735270738601685","360","360","360"
"181000","2.365133762359619","2.365133762359619","2.365133762359619","361","361","361"
"181500","2.213080644607544","2.213080644607544","2.213080644607544","362","362","362"
"182000","1.9428597688674927","1.9428597688674927","1.9428597688674927","363","363","363"
"182500","1.8749160766601562","1.8749160766601562","1.8749160766601562","364","364","364"
"183000","2.2581043243408203","2.2581043243408203","2.2581043243408203","365","365","365"
