"global_step","251213_useLessPoint - train/value_loss","251213_useLessPoint - train/value_loss__MIN","251213_useLessPoint - train/value_loss__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"404000","13.736454010009766","13.736454010009766","13.736454010009766","201","201","201"
"406000","15.604146003723145","15.604146003723145","15.604146003723145","202","202","202"
"408000","6.9556355476379395","6.9556355476379395","6.9556355476379395","203","203","203"
"410000","5.259799003601074","5.259799003601074","5.259799003601074","204","204","204"
"412000","4.8253278732299805","4.8253278732299805","4.8253278732299805","205","205","205"
"414000","8.401679039001465","8.401679039001465","8.401679039001465","206","206","206"
"416000","13.419692039489746","13.419692039489746","13.419692039489746","207","207","207"
"418000","6.041388034820557","6.041388034820557","6.041388034820557","208","208","208"
"420000","3.3002326488494873","3.3002326488494873","3.3002326488494873","209","209","209"
"422000","6.961691379547119","6.961691379547119","6.961691379547119","210","210","210"
"424000","15.9019193649292","15.9019193649292","15.9019193649292","211","211","211"
"426000","7.147308826446533","7.147308826446533","7.147308826446533","212","212","212"
"428000","5.194230556488037","5.194230556488037","5.194230556488037","213","213","213"
"430000","6.584115982055664","6.584115982055664","6.584115982055664","214","214","214"
"432000","6.690154075622559","6.690154075622559","6.690154075622559","215","215","215"
"434000","5.369755268096924","5.369755268096924","5.369755268096924","216","216","216"
"436000","4.151632785797119","4.151632785797119","4.151632785797119","217","217","217"
"438000","4.59766149520874","4.59766149520874","4.59766149520874","218","218","218"
"440000","5.0338897705078125","5.0338897705078125","5.0338897705078125","219","219","219"
"442000","6.838527679443359","6.838527679443359","6.838527679443359","220","220","220"
"444000","9.20999813079834","9.20999813079834","9.20999813079834","221","221","221"
"446000","13.556060791015625","13.556060791015625","13.556060791015625","222","222","222"
"448000","5.528218746185303","5.528218746185303","5.528218746185303","223","223","223"
"450000","22.31125259399414","22.31125259399414","22.31125259399414","224","224","224"
"452000","6.259174823760986","6.259174823760986","6.259174823760986","225","225","225"
"454000","5.4298481941223145","5.4298481941223145","5.4298481941223145","226","226","226"
"456000","6.143702983856201","6.143702983856201","6.143702983856201","227","227","227"
"458000","6.0663957595825195","6.0663957595825195","6.0663957595825195","228","228","228"
"460000","16.492395401000977","16.492395401000977","16.492395401000977","229","229","229"
"462000","12.804704666137695","12.804704666137695","12.804704666137695","230","230","230"
"464000","5.817638874053955","5.817638874053955","5.817638874053955","231","231","231"
"466000","4.694545745849609","4.694545745849609","4.694545745849609","232","232","232"
"468000","9.73810863494873","9.73810863494873","9.73810863494873","233","233","233"
"470000","9.369677543640137","9.369677543640137","9.369677543640137","234","234","234"
"472000","5.53026008605957","5.53026008605957","5.53026008605957","235","235","235"
"474000","4.205049514770508","4.205049514770508","4.205049514770508","236","236","236"
"476000","5.174404621124268","5.174404621124268","5.174404621124268","237","237","237"
"478000","5.703088283538818","5.703088283538818","5.703088283538818","238","238","238"
"480000","5.833783149719238","5.833783149719238","5.833783149719238","239","239","239"
"482000","8.359904289245605","8.359904289245605","8.359904289245605","240","240","240"
"484000","12.718099594116211","12.718099594116211","12.718099594116211","241","241","241"
"486000","4.495535373687744","4.495535373687744","4.495535373687744","242","242","242"
"488000","8.482150077819824","8.482150077819824","8.482150077819824","243","243","243"
"490000","6.549255847930908","6.549255847930908","6.549255847930908","244","244","244"
"492000","11.825149536132812","11.825149536132812","11.825149536132812","245","245","245"
"494000","10.713160514831543","10.713160514831543","10.713160514831543","246","246","246"
"496000","4.422281742095947","4.422281742095947","4.422281742095947","247","247","247"
"498000","17.82427215576172","17.82427215576172","17.82427215576172","248","248","248"
"500000","5.791121959686279","5.791121959686279","5.791121959686279","249","249","249"
"502000","11.275721549987793","11.275721549987793","11.275721549987793","250","250","250"
"504000","10.651510238647461","10.651510238647461","10.651510238647461","251","251","251"
"506000","6.5994391441345215","6.5994391441345215","6.5994391441345215","252","252","252"
"508000","5.520955562591553","5.520955562591553","5.520955562591553","253","253","253"
"510000","7.801624298095703","7.801624298095703","7.801624298095703","254","254","254"
"512000","14.03982162475586","14.03982162475586","14.03982162475586","255","255","255"
"514000","8.246150970458984","8.246150970458984","8.246150970458984","256","256","256"
"516000","5.759511470794678","5.759511470794678","5.759511470794678","257","257","257"
"518000","6.756548881530762","6.756548881530762","6.756548881530762","258","258","258"
"520000","14.504121780395508","14.504121780395508","14.504121780395508","259","259","259"
"522000","11.930601119995117","11.930601119995117","11.930601119995117","260","260","260"
"524000","18.45056915283203","18.45056915283203","18.45056915283203","261","261","261"
"526000","21.433013916015625","21.433013916015625","21.433013916015625","262","262","262"
"528000","9.364872932434082","9.364872932434082","9.364872932434082","263","263","263"
"530000","6.504108905792236","6.504108905792236","6.504108905792236","264","264","264"
"532000","19.040149688720703","19.040149688720703","19.040149688720703","265","265","265"
"534000","10.600469589233398","10.600469589233398","10.600469589233398","266","266","266"
"536000","4.066110610961914","4.066110610961914","4.066110610961914","267","267","267"
"538000","6.461149215698242","6.461149215698242","6.461149215698242","268","268","268"
"540000","5.959462642669678","5.959462642669678","5.959462642669678","269","269","269"
"542000","9.763837814331055","9.763837814331055","9.763837814331055","270","270","270"
"544000","7.364483833312988","7.364483833312988","7.364483833312988","271","271","271"
"546000","5.365342617034912","5.365342617034912","5.365342617034912","272","272","272"
"548000","8.919265747070312","8.919265747070312","8.919265747070312","273","273","273"
"550000","17.56688117980957","17.56688117980957","17.56688117980957","274","274","274"
"552000","6.411935806274414","6.411935806274414","6.411935806274414","275","275","275"
"554000","16.4771785736084","16.4771785736084","16.4771785736084","276","276","276"
"556000","13.745323181152344","13.745323181152344","13.745323181152344","277","277","277"
"558000","11.808370590209961","11.808370590209961","11.808370590209961","278","278","278"
"560000","6.107939720153809","6.107939720153809","6.107939720153809","279","279","279"
"562000","4.9215569496154785","4.9215569496154785","4.9215569496154785","280","280","280"
"564000","19.269189834594727","19.269189834594727","19.269189834594727","281","281","281"
"566000","9.452600479125977","9.452600479125977","9.452600479125977","282","282","282"
"568000","12.062276840209961","12.062276840209961","12.062276840209961","283","283","283"
"570000","13.316267013549805","13.316267013549805","13.316267013549805","284","284","284"
"572000","14.896734237670898","14.896734237670898","14.896734237670898","285","285","285"
"574000","6.289074420928955","6.289074420928955","6.289074420928955","286","286","286"
"576000","4.792555332183838","4.792555332183838","4.792555332183838","287","287","287"
"578000","9.928470611572266","9.928470611572266","9.928470611572266","288","288","288"
"580000","3.1194562911987305","3.1194562911987305","3.1194562911987305","289","289","289"
"582000","7.120547294616699","7.120547294616699","7.120547294616699","290","290","290"
"584000","5.764358043670654","5.764358043670654","5.764358043670654","291","291","291"
"586000","5.212936878204346","5.212936878204346","5.212936878204346","292","292","292"
"588000","3.6289217472076416","3.6289217472076416","3.6289217472076416","293","293","293"
"590000","6.586658477783203","6.586658477783203","6.586658477783203","294","294","294"
"592000","4.814403057098389","4.814403057098389","4.814403057098389","295","295","295"
"594000","6.258140563964844","6.258140563964844","6.258140563964844","296","296","296"
"596000","4.926249027252197","4.926249027252197","4.926249027252197","297","297","297"
"598000","16.314342498779297","16.314342498779297","16.314342498779297","298","298","298"
"600000","4.60429573059082","4.60429573059082","4.60429573059082","299","299","299"
"602000","6.218902111053467","6.218902111053467","6.218902111053467","300","300","300"
"604000","6.769467830657959","6.769467830657959","6.769467830657959","301","301","301"
"606000","14.961256980895996","14.961256980895996","14.961256980895996","302","302","302"
"608000","7.854466915130615","7.854466915130615","7.854466915130615","303","303","303"
"610000","6.1330060958862305","6.1330060958862305","6.1330060958862305","304","304","304"
"612000","6.8575520515441895","6.8575520515441895","6.8575520515441895","305","305","305"
"614000","4.707404136657715","4.707404136657715","4.707404136657715","306","306","306"
"616000","6.643128395080566","6.643128395080566","6.643128395080566","307","307","307"
"618000","7.013896465301514","7.013896465301514","7.013896465301514","308","308","308"
"620000","4.385295391082764","4.385295391082764","4.385295391082764","309","309","309"
"622000","3.880419969558716","3.880419969558716","3.880419969558716","310","310","310"
"624000","3.153968334197998","3.153968334197998","3.153968334197998","311","311","311"
"626000","5.170463562011719","5.170463562011719","5.170463562011719","312","312","312"
"628000","5.579945087432861","5.579945087432861","5.579945087432861","313","313","313"
"630000","5.741872787475586","5.741872787475586","5.741872787475586","314","314","314"
"632000","7.126741409301758","7.126741409301758","7.126741409301758","315","315","315"
"634000","10.562422752380371","10.562422752380371","10.562422752380371","316","316","316"
"636000","10.937178611755371","10.937178611755371","10.937178611755371","317","317","317"
"638000","7.995806694030762","7.995806694030762","7.995806694030762","318","318","318"
"640000","4.820706844329834","4.820706844329834","4.820706844329834","319","319","319"
"642000","6.035126686096191","6.035126686096191","6.035126686096191","320","320","320"
"644000","4.559398174285889","4.559398174285889","4.559398174285889","321","321","321"
"646000","8.49495792388916","8.49495792388916","8.49495792388916","322","322","322"
"648000","5.729720115661621","5.729720115661621","5.729720115661621","323","323","323"
"650000","7.070545196533203","7.070545196533203","7.070545196533203","324","324","324"
"652000","11.386100769042969","11.386100769042969","11.386100769042969","325","325","325"
"654000","3.8889987468719482","3.8889987468719482","3.8889987468719482","326","326","326"
"656000","11.713357925415039","11.713357925415039","11.713357925415039","327","327","327"
"658000","4.197147369384766","4.197147369384766","4.197147369384766","328","328","328"
"660000","6.368059158325195","6.368059158325195","6.368059158325195","329","329","329"
"662000","5.321473598480225","5.321473598480225","5.321473598480225","330","330","330"
"664000","4.700368881225586","4.700368881225586","4.700368881225586","331","331","331"
"666000","12.412615776062012","12.412615776062012","12.412615776062012","332","332","332"
"668000","5.60459041595459","5.60459041595459","5.60459041595459","333","333","333"
"670000","5.814713478088379","5.814713478088379","5.814713478088379","334","334","334"
"672000","7.836449146270752","7.836449146270752","7.836449146270752","335","335","335"
"674000","14.127055168151855","14.127055168151855","14.127055168151855","336","336","336"
"676000","7.95587158203125","7.95587158203125","7.95587158203125","337","337","337"
"678000","8.201025009155273","8.201025009155273","8.201025009155273","338","338","338"
