"global_step","251213_useLessPoint - train/final_neg_count","251213_useLessPoint - train/final_neg_count__MIN","251213_useLessPoint - train/final_neg_count__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"742000","3","3","3","370","370","370"
"744000","9","9","9","371","371","371"
"746000","8","8","8","372","372","372"
"748000","4","4","4","373","373","373"
"750000","8","8","8","374","374","374"
"752000","6","6","6","375","375","375"
"754000","7","7","7","376","376","376"
"756000","10","10","10","377","377","377"
"758000","8","8","8","378","378","378"
"760000","13","13","13","379","379","379"
"762000","12","12","12","380","380","380"
"764000","10","10","10","381","381","381"
"766000","12","12","12","382","382","382"
"768000","6","6","6","383","383","383"
"770000","12","12","12","384","384","384"
"772000","9","9","9","385","385","385"
"774000","15","15","15","386","386","386"
"776000","7","7","7","387","387","387"
"778000","12","12","12","388","388","388"
"780000","7","7","7","389","389","389"
"782000","5","5","5","390","390","390"
"784000","9","9","9","391","391","391"
"786000","11","11","11","392","392","392"
"788000","5","5","5","393","393","393"
"790000","8","8","8","394","394","394"
"792000","8","8","8","395","395","395"
"794000","8","8","8","396","396","396"
"796000","12","12","12","397","397","397"
"798000","5","5","5","398","398","398"
"800000","13","13","13","399","399","399"
"802000","7","7","7","400","400","400"
"804000","8","8","8","401","401","401"
"806000","8","8","8","402","402","402"
"808000","5","5","5","403","403","403"
"810000","4","4","4","404","404","404"
"812000","10","10","10","405","405","405"
"814000","12","12","12","406","406","406"
"816000","6","6","6","407","407","407"
"818000","8","8","8","408","408","408"
"820000","13","13","13","409","409","409"
"822000","13","13","13","410","410","410"
"824000","6","6","6","411","411","411"
"826000","5","5","5","412","412","412"
"828000","14","14","14","413","413","413"
"830000","6","6","6","414","414","414"
"832000","5","5","5","415","415","415"
"834000","8","8","8","416","416","416"
"836000","8","8","8","417","417","417"
"838000","11","11","11","418","418","418"
"840000","8","8","8","419","419","419"
"842000","11","11","11","420","420","420"
"844000","8","8","8","421","421","421"
"846000","9","9","9","422","422","422"
"848000","8","8","8","423","423","423"
"850000","14","14","14","424","424","424"
"852000","5","5","5","425","425","425"
"854000","11","11","11","426","426","426"
"856000","8","8","8","427","427","427"
"858000","14","14","14","428","428","428"
"860000","5","5","5","429","429","429"
"862000","7","7","7","430","430","430"
"864000","11","11","11","431","431","431"
"866000","9","9","9","432","432","432"
"868000","6","6","6","433","433","433"
"870000","7","7","7","434","434","434"
"872000","7","7","7","435","435","435"
"874000","4","4","4","436","436","436"
"876000","7","7","7","437","437","437"
"878000","6","6","6","438","438","438"
"880000","6","6","6","439","439","439"
"882000","7","7","7","440","440","440"
"884000","9","9","9","441","441","441"
"886000","5","5","5","442","442","442"
