"global_step","251213_useLessPoint - train/final_episode_iou","251213_useLessPoint - train/final_episode_iou__MIN","251213_useLessPoint - train/final_episode_iou__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"472000","0.2840900123119354","0.2840900123119354","0.2840900123119354","235","235","235"
"474000","0.2875087857246399","0.2875087857246399","0.2875087857246399","236","236","236"
"476000","0.31005096435546875","0.31005096435546875","0.31005096435546875","237","237","237"
"478000","0.4422031044960022","0.4422031044960022","0.4422031044960022","238","238","238"
"480000","0.37911513447761536","0.37911513447761536","0.37911513447761536","239","239","239"
"482000","0.3584255874156952","0.3584255874156952","0.3584255874156952","240","240","240"
"484000","0.2663619816303253","0.2663619816303253","0.2663619816303253","241","241","241"
"486000","0.286538302898407","0.286538302898407","0.286538302898407","242","242","242"
"488000","0.41297662258148193","0.41297662258148193","0.41297662258148193","243","243","243"
"490000","0.42852479219436646","0.42852479219436646","0.42852479219436646","244","244","244"
"492000","0.4477272629737854","0.4477272629737854","0.4477272629737854","245","245","245"
"494000","0.3211999535560608","0.3211999535560608","0.3211999535560608","246","246","246"
"496000","0.4101153612136841","0.4101153612136841","0.4101153612136841","247","247","247"
"498000","0.28528210520744324","0.28528210520744324","0.28528210520744324","248","248","248"
"500000","0.31137725710868835","0.31137725710868835","0.31137725710868835","249","249","249"
"502000","0.2742324471473694","0.2742324471473694","0.2742324471473694","250","250","250"
"504000","0.24084334075450897","0.24084334075450897","0.24084334075450897","251","251","251"
"506000","0.24312824010849","0.24312824010849","0.24312824010849","252","252","252"
"508000","0.1440553069114685","0.1440553069114685","0.1440553069114685","253","253","253"
"510000","0.25594356656074524","0.25594356656074524","0.25594356656074524","254","254","254"
"512000","0.38317516446113586","0.38317516446113586","0.38317516446113586","255","255","255"
"514000","0.42461538314819336","0.42461538314819336","0.42461538314819336","256","256","256"
"516000","0.28110119700431824","0.28110119700431824","0.28110119700431824","257","257","257"
"518000","0.45528456568717957","0.45528456568717957","0.45528456568717957","258","258","258"
"520000","0.4295889139175415","0.4295889139175415","0.4295889139175415","259","259","259"
"522000","0.38290688395500183","0.38290688395500183","0.38290688395500183","260","260","260"
"524000","0.24353502690792084","0.24353502690792084","0.24353502690792084","261","261","261"
"526000","0.23958662152290344","0.23958662152290344","0.23958662152290344","262","262","262"
"528000","0.31460586190223694","0.31460586190223694","0.31460586190223694","263","263","263"
"530000","0.2821846604347229","0.2821846604347229","0.2821846604347229","264","264","264"
"532000","0.31331688165664673","0.31331688165664673","0.31331688165664673","265","265","265"
"534000","0.3455980122089386","0.3455980122089386","0.3455980122089386","266","266","266"
"536000","0.2602183222770691","0.2602183222770691","0.2602183222770691","267","267","267"
"538000","0.43713808059692383","0.43713808059692383","0.43713808059692383","268","268","268"
"540000","0.24703991413116455","0.24703991413116455","0.24703991413116455","269","269","269"
