"global_step","251213_useLessPoint - time/fps","251213_useLessPoint - time/fps__MIN","251213_useLessPoint - time/fps__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"1392000","22","22","22","695","695","695"
"1394000","22","22","22","696","696","696"
"1396000","22","22","22","697","697","697"
"1398000","22","22","22","698","698","698"
"1400000","22","22","22","699","699","699"
"1402000","22","22","22","700","700","700"
"1404000","22","22","22","701","701","701"
"1406000","22","22","22","702","702","702"
"1408000","22","22","22","703","703","703"
"1410000","22","22","22","704","704","704"
"1412000","22","22","22","705","705","705"
"1414000","22","22","22","706","706","706"
"1416000","22","22","22","707","707","707"
"1418000","22","22","22","708","708","708"
"1420000","22","22","22","709","709","709"
"1422000","22","22","22","710","710","710"
"1424000","22","22","22","711","711","711"
"1426000","22","22","22","712","712","712"
"1428000","22","22","22","713","713","713"
"1430000","22","22","22","714","714","714"
"1432000","22","22","22","715","715","715"
"1434000","22","22","22","716","716","716"
"1436000","22","22","22","717","717","717"
"1438000","22","22","22","718","718","718"
"1440000","22","22","22","719","719","719"
"1442000","22","22","22","720","720","720"
"1444000","22","22","22","721","721","721"
"1446000","22","22","22","722","722","722"
"1448000","22","22","22","723","723","723"
"1450000","22","22","22","724","724","724"
"1452000","22","22","22","725","725","725"
"1454000","22","22","22","726","726","726"
"1456000","22","22","22","727","727","727"
"1458000","22","22","22","728","728","728"
"1460000","22","22","22","729","729","729"
"1462000","22","22","22","730","730","730"
"1464000","22","22","22","731","731","731"
"1466000","22","22","22","732","732","732"
"1468000","22","22","22","733","733","733"
"1470000","22","22","22","734","734","734"
"1472000","22","22","22","735","735","735"
"1474000","22","22","22","736","736","736"
"1476000","22","22","22","737","737","737"
"1478000","22","22","22","738","738","738"
"1480000","22","22","22","739","739","739"
"1482000","22","22","22","740","740","740"
"1484000","22","22","22","741","741","741"
"1486000","22","22","22","742","742","742"
"1488000","22","22","22","743","743","743"
"1490000","22","22","22","744","744","744"
"1492000","22","22","22","745","745","745"
"1494000","22","22","22","746","746","746"
"1496000","22","22","22","747","747","747"
"1498000","22","22","22","749","749","749"
"1500000","22","22","22","750","750","750"
