"global_step","251221_DQN - time/fps","251221_DQN - time/fps__MIN","251221_DQN - time/fps__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"744000","25","25","25","371","371","371"
"746000","25","25","25","372","372","372"
"748000","25","25","25","373","373","373"
"750000","25","25","25","374","374","374"
"752000","25","25","25","375","375","375"
"754000","25","25","25","376","376","376"
"756000","25","25","25","377","377","377"
"758000","25","25","25","378","378","378"
"760000","25","25","25","379","379","379"
"762000","25","25","25","380","380","380"
"764000","25","25","25","381","381","381"
"766000","25","25","25","382","382","382"
"768000","25","25","25","383","383","383"
"770000","25","25","25","384","384","384"
"772000","25","25","25","385","385","385"
"774000","25","25","25","386","386","386"
"776000","25","25","25","387","387","387"
"778000","25","25","25","388","388","388"
"780000","25","25","25","389","389","389"
"782000","25","25","25","390","390","390"
"784000","25","25","25","391","391","391"
"786000","25","25","25","392","392","392"
"788000","25","25","25","393","393","393"
"790000","25","25","25","394","394","394"
"792000","25","25","25","395","395","395"
"794000","25","25","25","396","396","396"
"796000","25","25","25","397","397","397"
"798000","25","25","25","398","398","398"
"800000","25","25","25","399","399","399"
"802000","25","25","25","400","400","400"
"804000","25","25","25","401","401","401"
"806000","25","25","25","402","402","402"
"808000","25","25","25","403","403","403"
"810000","25","25","25","404","404","404"
"812000","25","25","25","405","405","405"
"814000","25","25","25","406","406","406"
"816000","25","25","25","407","407","407"
"818000","25","25","25","408","408","408"
"820000","25","25","25","409","409","409"
"822000","25","25","25","410","410","410"
"824000","25","25","25","411","411","411"
"826000","25","25","25","412","412","412"
"828000","25","25","25","413","413","413"
"830000","25","25","25","414","414","414"
"832000","25","25","25","415","415","415"
"834000","25","25","25","416","416","416"
"836000","25","25","25","417","417","417"
"838000","25","25","25","418","418","418"
"840000","25","25","25","419","419","419"
"842000","25","25","25","420","420","420"
"844000","25","25","25","421","421","421"
"846000","25","25","25","422","422","422"
"848000","25","25","25","423","423","423"
"850000","25","25","25","424","424","424"
"852000","25","25","25","425","425","425"
"854000","25","25","25","426","426","426"
"856000","25","25","25","427","427","427"
"858000","25","25","25","428","428","428"
"860000","25","25","25","429","429","429"
"862000","25","25","25","430","430","430"
"864000","25","25","25","431","431","431"
"866000","25","25","25","432","432","432"
"868000","26","26","26","433","433","433"
"870000","26","26","26","434","434","434"
"872000","26","26","26","435","435","435"
"874000","26","26","26","436","436","436"
"876000","26","26","26","437","437","437"
"878000","26","26","26","438","438","438"
"880000","26","26","26","439","439","439"
"882000","26","26","26","440","440","440"
"884000","26","26","26","441","441","441"
"886000","26","26","26","442","442","442"
"888000","26","26","26","443","443","443"
"890000","26","26","26","444","444","444"
"892000","26","26","26","445","445","445"
"894000","26","26","26","446","446","446"
"896000","26","26","26","447","447","447"
"898000","26","26","26","448","448","448"
"900000","26","26","26","449","449","449"
"902000","26","26","26","450","450","450"
"904000","26","26","26","451","451","451"
"906000","26","26","26","452","452","452"
"908000","26","26","26","453","453","453"
"910000","26","26","26","454","454","454"
"912000","26","26","26","455","455","455"
"914000","26","26","26","456","456","456"
"916000","26","26","26","457","457","457"
"918000","26","26","26","458","458","458"
"920000","26","26","26","459","459","459"
"922000","26","26","26","460","460","460"
"924000","26","26","26","461","461","461"
"926000","26","26","26","462","462","462"
"928000","26","26","26","463","463","463"
"930000","26","26","26","464","464","464"
"932000","26","26","26","465","465","465"
"934000","26","26","26","466","466","466"
"936000","26","26","26","467","467","467"
"938000","26","26","26","468","468","468"
"940000","26","26","26","469","469","469"
"942000","26","26","26","470","470","470"
"944000","26","26","26","471","471","471"
"946000","26","26","26","472","472","472"
"948000","26","26","26","473","473","473"
"950000","26","26","26","474","474","474"
"952000","26","26","26","475","475","475"
"954000","26","26","26","476","476","476"
"956000","26","26","26","477","477","477"
"958000","26","26","26","478","478","478"
"960000","26","26","26","479","479","479"
"962000","26","26","26","480","480","480"
"964000","26","26","26","481","481","481"
"966000","26","26","26","482","482","482"
"968000","26","26","26","483","483","483"
"970000","26","26","26","484","484","484"
"972000","26","26","26","485","485","485"
"974000","26","26","26","486","486","486"
"976000","26","26","26","487","487","487"
"978000","26","26","26","488","488","488"
"980000","26","26","26","489","489","489"
"982000","26","26","26","490","490","490"
"984000","26","26","26","491","491","491"
"986000","26","26","26","492","492","492"
"988000","26","26","26","493","493","493"
"990000","27","27","27","494","494","494"
"992000","27","27","27","495","495","495"
"994000","27","27","27","496","496","496"
"996000","27","27","27","497","497","497"
"998000","27","27","27","498","498","498"
"1000000","27","27","27","499","499","499"
"1002000","27","27","27","500","500","500"
"1004000","27","27","27","501","501","501"
"1006000","27","27","27","502","502","502"
"1008000","27","27","27","503","503","503"
"1010000","27","27","27","504","504","504"
"1012000","27","27","27","505","505","505"
"1014000","27","27","27","506","506","506"
"1016000","27","27","27","507","507","507"
"1018000","27","27","27","508","508","508"
"1020000","27","27","27","509","509","509"
"1022000","27","27","27","510","510","510"
"1024000","27","27","27","511","511","511"
"1026000","27","27","27","512","512","512"
"1028000","27","27","27","513","513","513"
"1030000","27","27","27","514","514","514"
"1032000","27","27","27","515","515","515"
"1034000","27","27","27","516","516","516"
"1036000","27","27","27","517","517","517"
"1038000","27","27","27","518","518","518"
"1040000","27","27","27","519","519","519"
"1042000","27","27","27","520","520","520"
"1044000","27","27","27","521","521","521"
"1046000","27","27","27","522","522","522"
"1048000","27","27","27","523","523","523"
"1050000","27","27","27","524","524","524"
"1052000","27","27","27","525","525","525"
"1054000","27","27","27","526","526","526"
