"global_step","251221_DQN - train/final_neg_count","251221_DQN - train/final_neg_count__MIN","251221_DQN - train/final_neg_count__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"1208000","13","13","13","603","603","603"
"1210000","8","8","8","604","604","604"
"1212000","9","9","9","605","605","605"
"1214000","12","12","12","606","606","606"
"1216000","7","7","7","607","607","607"
"1218000","15","15","15","608","608","608"
"1220000","3","3","3","609","609","609"
"1222000","3","3","3","610","610","610"
"1224000","7","7","7","611","611","611"
"1226000","5","5","5","612","612","612"
"1228000","3","3","3","613","613","613"
"1230000","15","15","15","614","614","614"
"1232000","3","3","3","615","615","615"
"1234000","15","15","15","616","616","616"
"1236000","3","3","3","617","617","617"
"1238000","3","3","3","618","618","618"
"1240000","13","13","13","619","619","619"
"1242000","5","5","5","620","620","620"
"1244000","3","3","3","621","621","621"
"1246000","8","8","8","622","622","622"
"1248000","15","15","15","623","623","623"
"1250000","4","4","4","624","624","624"
"1252000","7","7","7","625","625","625"
"1254000","3","3","3","626","626","626"
"1256000","4","4","4","627","627","627"
"1258000","11","11","11","628","628","628"
"1260000","8","8","8","629","629","629"
"1262000","5","5","5","630","630","630"
"1264000","15","15","15","631","631","631"
"1266000","3","3","3","632","632","632"
"1268000","8","8","8","633","633","633"
"1270000","3","3","3","634","634","634"
"1272000","4","4","4","635","635","635"
"1274000","3","3","3","636","636","636"
"1276000","13","13","13","637","637","637"
"1278000","3","3","3","638","638","638"
"1280000","3","3","3","639","639","639"
"1282000","12","12","12","640","640","640"
"1284000","13","13","13","641","641","641"
"1286000","6","6","6","642","642","642"
"1288000","15","15","15","643","643","643"
"1290000","6","6","6","644","644","644"
"1292000","11","11","11","645","645","645"
"1294000","14","14","14","646","646","646"
"1296000","9","9","9","647","647","647"
"1298000","11","11","11","648","648","648"
"1300000","10","10","10","649","649","649"
"1302000","6","6","6","650","650","650"
"1304000","11","11","11","651","651","651"
"1306000","13","13","13","652","652","652"
"1308000","13","13","13","653","653","653"
"1310000","11","11","11","654","654","654"
"1312000","3","3","3","655","655","655"
"1314000","13","13","13","656","656","656"
"1316000","7","7","7","657","657","657"
"1318000","9","9","9","658","658","658"
"1320000","9","9","9","659","659","659"
"1322000","4","4","4","660","660","660"
"1324000","7","7","7","661","661","661"
"1326000","7","7","7","662","662","662"
"1328000","13","13","13","663","663","663"
"1330000","3","3","3","664","664","664"
"1332000","5","5","5","665","665","665"
"1334000","3","3","3","666","666","666"
"1336000","6","6","6","667","667","667"
"1338000","15","15","15","668","668","668"
"1340000","4","4","4","669","669","669"
"1342000","13","13","13","670","670","670"
"1344000","14","14","14","671","671","671"
"1346000","5","5","5","672","672","672"
"1348000","3","3","3","673","673","673"
"1350000","5","5","5","674","674","674"
"1352000","3","3","3","675","675","675"
"1354000","3","3","3","676","676","676"
"1356000","3","3","3","677","677","677"
"1358000","3","3","3","678","678","678"
"1360000","3","3","3","679","679","679"
"1362000","7","7","7","680","680","680"
"1364000","3","3","3","681","681","681"
"1366000","4","4","4","682","682","682"
"1368000","15","15","15","683","683","683"
"1370000","7","7","7","684","684","684"
"1372000","3","3","3","685","685","685"
"1374000","3","3","3","686","686","686"
"1376000","11","11","11","687","687","687"
"1378000","13","13","13","688","688","688"
"1380000","3","3","3","689","689","689"
"1382000","11","11","11","690","690","690"
"1384000","5","5","5","691","691","691"
"1386000","7","7","7","692","692","692"
"1388000","15","15","15","693","693","693"
"1390000","4","4","4","694","694","694"
"1392000","5","5","5","695","695","695"
"1394000","3","3","3","696","696","696"
"1396000","12","12","12","697","697","697"
"1398000","5","5","5","698","698","698"
"1400000","4","4","4","699","699","699"
"1402000","3","3","3","700","700","700"
"1404000","12","12","12","701","701","701"
"1406000","14","14","14","702","702","702"
"1408000","3","3","3","703","703","703"
"1410000","13","13","13","704","704","704"
"1412000","11","11","11","705","705","705"
"1414000","15","15","15","706","706","706"
"1416000","15","15","15","707","707","707"
"1418000","12","12","12","708","708","708"
"1420000","3","3","3","709","709","709"
"1422000","6","6","6","710","710","710"
"1424000","10","10","10","711","711","711"
"1426000","4","4","4","712","712","712"
"1428000","12","12","12","713","713","713"
"1430000","6","6","6","714","714","714"
"1432000","3","3","3","715","715","715"
"1434000","8","8","8","716","716","716"
"1436000","6","6","6","717","717","717"
"1438000","4","4","4","718","718","718"
"1440000","3","3","3","719","719","719"
"1442000","6","6","6","720","720","720"
"1444000","3","3","3","721","721","721"
"1446000","3","3","3","722","722","722"
"1448000","3","3","3","723","723","723"
"1450000","4","4","4","724","724","724"
"1452000","8","8","8","725","725","725"
"1454000","5","5","5","726","726","726"
"1456000","10","10","10","727","727","727"
"1458000","4","4","4","728","728","728"
"1460000","6","6","6","729","729","729"
"1462000","12","12","12","730","730","730"
"1464000","3","3","3","731","731","731"
"1466000","3","3","3","732","732","732"
"1468000","3","3","3","733","733","733"
"1470000","13","13","13","734","734","734"
"1472000","5","5","5","735","735","735"
"1474000","3","3","3","736","736","736"
"1476000","3","3","3","737","737","737"
"1478000","4","4","4","738","738","738"
"1480000","3","3","3","739","739","739"
"1482000","13","13","13","740","740","740"
"1484000","3","3","3","741","741","741"
"1486000","7","7","7","742","742","742"
"1488000","5","5","5","743","743","743"
"1490000","7","7","7","744","744","744"
"1492000","3","3","3","745","745","745"
"1494000","5","5","5","746","746","746"
"1496000","4","4","4","747","747","747"
"1498000","10","10","10","749","749","749"
"1500000","10","10","10","750","750","750"
