"global_step","251221_DQN - train/final_feat_cross","251221_DQN - train/final_feat_cross__MIN","251221_DQN - train/final_feat_cross__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"540000","1.7559401988983154","1.7559401988983154","1.7559401988983154","269","269","269"
"542000","1.8607840538024902","1.8607840538024902","1.8607840538024902","270","270","270"
"544000","1.6650224924087524","1.6650224924087524","1.6650224924087524","271","271","271"
"546000","1.9372755289077759","1.9372755289077759","1.9372755289077759","272","272","272"
"548000","1.8597530126571655","1.8597530126571655","1.8597530126571655","273","273","273"
"550000","2.77728271484375","2.77728271484375","2.77728271484375","274","274","274"
"552000","2.036423444747925","2.036423444747925","2.036423444747925","275","275","275"
"554000","2.1227221488952637","2.1227221488952637","2.1227221488952637","276","276","276"
"556000","1.8314459323883057","1.8314459323883057","1.8314459323883057","277","277","277"
"558000","1.8716330528259277","1.8716330528259277","1.8716330528259277","278","278","278"
"560000","1.8810724020004272","1.8810724020004272","1.8810724020004272","279","279","279"
"562000","1.7535885572433472","1.7535885572433472","1.7535885572433472","280","280","280"
"564000","1.9057800769805908","1.9057800769805908","1.9057800769805908","281","281","281"
"566000","2.089841365814209","2.089841365814209","2.089841365814209","282","282","282"
"568000","1.5867680311203003","1.5867680311203003","1.5867680311203003","283","283","283"
"570000","2.03389310836792","2.03389310836792","2.03389310836792","284","284","284"
"572000","2.003410816192627","2.003410816192627","2.003410816192627","285","285","285"
"574000","1.84357750415802","1.84357750415802","1.84357750415802","286","286","286"
"576000","1.7660417556762695","1.7660417556762695","1.7660417556762695","287","287","287"
"578000","2.021639347076416","2.021639347076416","2.021639347076416","288","288","288"
"580000","1.8001868724822998","1.8001868724822998","1.8001868724822998","289","289","289"
"582000","1.9843627214431763","1.9843627214431763","1.9843627214431763","290","290","290"
"584000","2.1862683296203613","2.1862683296203613","2.1862683296203613","291","291","291"
"586000","1.989980697631836","1.989980697631836","1.989980697631836","292","292","292"
"588000","2.0195000171661377","2.0195000171661377","2.0195000171661377","293","293","293"
"590000","2.3953235149383545","2.3953235149383545","2.3953235149383545","294","294","294"
"592000","2.025465488433838","2.025465488433838","2.025465488433838","295","295","295"
"594000","2.421213150024414","2.421213150024414","2.421213150024414","296","296","296"
"596000","2.233865261077881","2.233865261077881","2.233865261077881","297","297","297"
"598000","2.062849283218384","2.062849283218384","2.062849283218384","298","298","298"
"600000","2.112128973007202","2.112128973007202","2.112128973007202","299","299","299"
"602000","2.081756353378296","2.081756353378296","2.081756353378296","300","300","300"
"604000","1.7924096584320068","1.7924096584320068","1.7924096584320068","301","301","301"
"606000","2.095000743865967","2.095000743865967","2.095000743865967","302","302","302"
"608000","1.995127558708191","1.995127558708191","1.995127558708191","303","303","303"
"610000","1.8484946489334106","1.8484946489334106","1.8484946489334106","304","304","304"
"612000","2.187662363052368","2.187662363052368","2.187662363052368","305","305","305"
"614000","2.2765772342681885","2.2765772342681885","2.2765772342681885","306","306","306"
"616000","2.0539333820343018","2.0539333820343018","2.0539333820343018","307","307","307"
"618000","1.8145862817764282","1.8145862817764282","1.8145862817764282","308","308","308"
"620000","1.9315872192382812","1.9315872192382812","1.9315872192382812","309","309","309"
"622000","2.1062698364257812","2.1062698364257812","2.1062698364257812","310","310","310"
"624000","1.9176357984542847","1.9176357984542847","1.9176357984542847","311","311","311"
"626000","2.052415370941162","2.052415370941162","2.052415370941162","312","312","312"
"628000","2.0246472358703613","2.0246472358703613","2.0246472358703613","313","313","313"
"630000","2.26808762550354","2.26808762550354","2.26808762550354","314","314","314"
"632000","1.9986764192581177","1.9986764192581177","1.9986764192581177","315","315","315"
"634000","2.042062997817993","2.042062997817993","2.042062997817993","316","316","316"
"636000","2.1818296909332275","2.1818296909332275","2.1818296909332275","317","317","317"
"638000","1.7018001079559326","1.7018001079559326","1.7018001079559326","318","318","318"
"640000","2.1223723888397217","2.1223723888397217","2.1223723888397217","319","319","319"
"642000","2.11845326423645","2.11845326423645","2.11845326423645","320","320","320"
"644000","2.2015457153320312","2.2015457153320312","2.2015457153320312","321","321","321"
"646000","2.0700175762176514","2.0700175762176514","2.0700175762176514","322","322","322"
"648000","2.0744833946228027","2.0744833946228027","2.0744833946228027","323","323","323"
"650000","2.0313467979431152","2.0313467979431152","2.0313467979431152","324","324","324"
"652000","2.0683350563049316","2.0683350563049316","2.0683350563049316","325","325","325"
"654000","2.034867763519287","2.034867763519287","2.034867763519287","326","326","326"
"656000","1.9062373638153076","1.9062373638153076","1.9062373638153076","327","327","327"
"658000","1.9254111051559448","1.9254111051559448","1.9254111051559448","328","328","328"
"660000","2.1228668689727783","2.1228668689727783","2.1228668689727783","329","329","329"
"662000","2.1657166481018066","2.1657166481018066","2.1657166481018066","330","330","330"
"664000","2.099705934524536","2.099705934524536","2.099705934524536","331","331","331"
"666000","2.0727741718292236","2.0727741718292236","2.0727741718292236","332","332","332"
"668000","2.012317180633545","2.012317180633545","2.012317180633545","333","333","333"
"670000","1.4693419933319092","1.4693419933319092","1.4693419933319092","334","334","334"
"672000","1.9333771467208862","1.9333771467208862","1.9333771467208862","335","335","335"
"674000","1.9703322649002075","1.9703322649002075","1.9703322649002075","336","336","336"
"676000","1.89799165725708","1.89799165725708","1.89799165725708","337","337","337"
"678000","1.158500075340271","1.158500075340271","1.158500075340271","338","338","338"
"680000","1.957033634185791","1.957033634185791","1.957033634185791","339","339","339"
"682000","2.1117329597473145","2.1117329597473145","2.1117329597473145","340","340","340"
"684000","1.8853869438171387","1.8853869438171387","1.8853869438171387","341","341","341"
"686000","2.0837631225585938","2.0837631225585938","2.0837631225585938","342","342","342"
"688000","1.816935658454895","1.816935658454895","1.816935658454895","343","343","343"
"690000","1.5763577222824097","1.5763577222824097","1.5763577222824097","344","344","344"
"692000","2.140333652496338","2.140333652496338","2.140333652496338","345","345","345"
"694000","1.881786823272705","1.881786823272705","1.881786823272705","346","346","346"
"696000","2.09049916267395","2.09049916267395","2.09049916267395","347","347","347"
"698000","1.7374565601348877","1.7374565601348877","1.7374565601348877","348","348","348"
"700000","1.473099708557129","1.473099708557129","1.473099708557129","349","349","349"
"702000","1.8861382007598877","1.8861382007598877","1.8861382007598877","350","350","350"
"704000","2.1428792476654053","2.1428792476654053","2.1428792476654053","351","351","351"
"706000","2.4449965953826904","2.4449965953826904","2.4449965953826904","352","352","352"
"708000","2.0841073989868164","2.0841073989868164","2.0841073989868164","353","353","353"
"710000","1.3833760023117065","1.3833760023117065","1.3833760023117065","354","354","354"
"712000","2.1096911430358887","2.1096911430358887","2.1096911430358887","355","355","355"
"714000","1.6561455726623535","1.6561455726623535","1.6561455726623535","356","356","356"
"716000","2.0640480518341064","2.0640480518341064","2.0640480518341064","357","357","357"
"718000","2.1410224437713623","2.1410224437713623","2.1410224437713623","358","358","358"
"720000","1.9401586055755615","1.9401586055755615","1.9401586055755615","359","359","359"
"722000","2.02131986618042","2.02131986618042","2.02131986618042","360","360","360"
"724000","2.110549211502075","2.110549211502075","2.110549211502075","361","361","361"
"726000","2.2101218700408936","2.2101218700408936","2.2101218700408936","362","362","362"
"728000","2.1017417907714844","2.1017417907714844","2.1017417907714844","363","363","363"
"730000","1.9271035194396973","1.9271035194396973","1.9271035194396973","364","364","364"
"732000","1.8093600273132324","1.8093600273132324","1.8093600273132324","365","365","365"
