"global_step","251221_DQN - rollout/exploration_rate","251221_DQN - rollout/exploration_rate__MIN","251221_DQN - rollout/exploration_rate__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"444000","0.05000000074505806","0.05000000074505806","0.05000000074505806","221","221","221"
"446000","0.05000000074505806","0.05000000074505806","0.05000000074505806","222","222","222"
"448000","0.05000000074505806","0.05000000074505806","0.05000000074505806","223","223","223"
"450000","0.05000000074505806","0.05000000074505806","0.05000000074505806","224","224","224"
"452000","0.05000000074505806","0.05000000074505806","0.05000000074505806","225","225","225"
"454000","0.05000000074505806","0.05000000074505806","0.05000000074505806","226","226","226"
"456000","0.05000000074505806","0.05000000074505806","0.05000000074505806","227","227","227"
"458000","0.05000000074505806","0.05000000074505806","0.05000000074505806","228","228","228"
"460000","0.05000000074505806","0.05000000074505806","0.05000000074505806","229","229","229"
"462000","0.05000000074505806","0.05000000074505806","0.05000000074505806","230","230","230"
"464000","0.05000000074505806","0.05000000074505806","0.05000000074505806","231","231","231"
"466000","0.05000000074505806","0.05000000074505806","0.05000000074505806","232","232","232"
"468000","0.05000000074505806","0.05000000074505806","0.05000000074505806","233","233","233"
"470000","0.05000000074505806","0.05000000074505806","0.05000000074505806","234","234","234"
"472000","0.05000000074505806","0.05000000074505806","0.05000000074505806","235","235","235"
"474000","0.05000000074505806","0.05000000074505806","0.05000000074505806","236","236","236"
"476000","0.05000000074505806","0.05000000074505806","0.05000000074505806","237","237","237"
"478000","0.05000000074505806","0.05000000074505806","0.05000000074505806","238","238","238"
"480000","0.05000000074505806","0.05000000074505806","0.05000000074505806","239","239","239"
"482000","0.05000000074505806","0.05000000074505806","0.05000000074505806","240","240","240"
"484000","0.05000000074505806","0.05000000074505806","0.05000000074505806","241","241","241"
"486000","0.05000000074505806","0.05000000074505806","0.05000000074505806","242","242","242"
"488000","0.05000000074505806","0.05000000074505806","0.05000000074505806","243","243","243"
"490000","0.05000000074505806","0.05000000074505806","0.05000000074505806","244","244","244"
"492000","0.05000000074505806","0.05000000074505806","0.05000000074505806","245","245","245"
"494000","0.05000000074505806","0.05000000074505806","0.05000000074505806","246","246","246"
"496000","0.05000000074505806","0.05000000074505806","0.05000000074505806","247","247","247"
"498000","0.05000000074505806","0.05000000074505806","0.05000000074505806","248","248","248"
"500000","0.05000000074505806","0.05000000074505806","0.05000000074505806","249","249","249"
"502000","0.05000000074505806","0.05000000074505806","0.05000000074505806","250","250","250"
"504000","0.05000000074505806","0.05000000074505806","0.05000000074505806","251","251","251"
"506000","0.05000000074505806","0.05000000074505806","0.05000000074505806","252","252","252"
"508000","0.05000000074505806","0.05000000074505806","0.05000000074505806","253","253","253"
"510000","0.05000000074505806","0.05000000074505806","0.05000000074505806","254","254","254"
"512000","0.05000000074505806","0.05000000074505806","0.05000000074505806","255","255","255"
"514000","0.05000000074505806","0.05000000074505806","0.05000000074505806","256","256","256"
"516000","0.05000000074505806","0.05000000074505806","0.05000000074505806","257","257","257"
"518000","0.05000000074505806","0.05000000074505806","0.05000000074505806","258","258","258"
"520000","0.05000000074505806","0.05000000074505806","0.05000000074505806","259","259","259"
"522000","0.05000000074505806","0.05000000074505806","0.05000000074505806","260","260","260"
"524000","0.05000000074505806","0.05000000074505806","0.05000000074505806","261","261","261"
"526000","0.05000000074505806","0.05000000074505806","0.05000000074505806","262","262","262"
"528000","0.05000000074505806","0.05000000074505806","0.05000000074505806","263","263","263"
"530000","0.05000000074505806","0.05000000074505806","0.05000000074505806","264","264","264"
"532000","0.05000000074505806","0.05000000074505806","0.05000000074505806","265","265","265"
"534000","0.05000000074505806","0.05000000074505806","0.05000000074505806","266","266","266"
"536000","0.05000000074505806","0.05000000074505806","0.05000000074505806","267","267","267"
"538000","0.05000000074505806","0.05000000074505806","0.05000000074505806","268","268","268"
"540000","0.05000000074505806","0.05000000074505806","0.05000000074505806","269","269","269"
"542000","0.05000000074505806","0.05000000074505806","0.05000000074505806","270","270","270"
"544000","0.05000000074505806","0.05000000074505806","0.05000000074505806","271","271","271"
"546000","0.05000000074505806","0.05000000074505806","0.05000000074505806","272","272","272"
"548000","0.05000000074505806","0.05000000074505806","0.05000000074505806","273","273","273"
"550000","0.05000000074505806","0.05000000074505806","0.05000000074505806","274","274","274"
"552000","0.05000000074505806","0.05000000074505806","0.05000000074505806","275","275","275"
"554000","0.05000000074505806","0.05000000074505806","0.05000000074505806","276","276","276"
"556000","0.05000000074505806","0.05000000074505806","0.05000000074505806","277","277","277"
"558000","0.05000000074505806","0.05000000074505806","0.05000000074505806","278","278","278"
"560000","0.05000000074505806","0.05000000074505806","0.05000000074505806","279","279","279"
"562000","0.05000000074505806","0.05000000074505806","0.05000000074505806","280","280","280"
"564000","0.05000000074505806","0.05000000074505806","0.05000000074505806","281","281","281"
"566000","0.05000000074505806","0.05000000074505806","0.05000000074505806","282","282","282"
"568000","0.05000000074505806","0.05000000074505806","0.05000000074505806","283","283","283"
"570000","0.05000000074505806","0.05000000074505806","0.05000000074505806","284","284","284"
"572000","0.05000000074505806","0.05000000074505806","0.05000000074505806","285","285","285"
"574000","0.05000000074505806","0.05000000074505806","0.05000000074505806","286","286","286"
"576000","0.05000000074505806","0.05000000074505806","0.05000000074505806","287","287","287"
"578000","0.05000000074505806","0.05000000074505806","0.05000000074505806","288","288","288"
"580000","0.05000000074505806","0.05000000074505806","0.05000000074505806","289","289","289"
"582000","0.05000000074505806","0.05000000074505806","0.05000000074505806","290","290","290"
"584000","0.05000000074505806","0.05000000074505806","0.05000000074505806","291","291","291"
"586000","0.05000000074505806","0.05000000074505806","0.05000000074505806","292","292","292"
"588000","0.05000000074505806","0.05000000074505806","0.05000000074505806","293","293","293"
"590000","0.05000000074505806","0.05000000074505806","0.05000000074505806","294","294","294"
"592000","0.05000000074505806","0.05000000074505806","0.05000000074505806","295","295","295"
"594000","0.05000000074505806","0.05000000074505806","0.05000000074505806","296","296","296"
"596000","0.05000000074505806","0.05000000074505806","0.05000000074505806","297","297","297"
"598000","0.05000000074505806","0.05000000074505806","0.05000000074505806","298","298","298"
"600000","0.05000000074505806","0.05000000074505806","0.05000000074505806","299","299","299"
"602000","0.05000000074505806","0.05000000074505806","0.05000000074505806","300","300","300"
"604000","0.05000000074505806","0.05000000074505806","0.05000000074505806","301","301","301"
"606000","0.05000000074505806","0.05000000074505806","0.05000000074505806","302","302","302"
"608000","0.05000000074505806","0.05000000074505806","0.05000000074505806","303","303","303"
"610000","0.05000000074505806","0.05000000074505806","0.05000000074505806","304","304","304"
"612000","0.05000000074505806","0.05000000074505806","0.05000000074505806","305","305","305"
"614000","0.05000000074505806","0.05000000074505806","0.05000000074505806","306","306","306"
"616000","0.05000000074505806","0.05000000074505806","0.05000000074505806","307","307","307"
"618000","0.05000000074505806","0.05000000074505806","0.05000000074505806","308","308","308"
"620000","0.05000000074505806","0.05000000074505806","0.05000000074505806","309","309","309"
"622000","0.05000000074505806","0.05000000074505806","0.05000000074505806","310","310","310"
"624000","0.05000000074505806","0.05000000074505806","0.05000000074505806","311","311","311"
"626000","0.05000000074505806","0.05000000074505806","0.05000000074505806","312","312","312"
"628000","0.05000000074505806","0.05000000074505806","0.05000000074505806","313","313","313"
"630000","0.05000000074505806","0.05000000074505806","0.05000000074505806","314","314","314"
"632000","0.05000000074505806","0.05000000074505806","0.05000000074505806","315","315","315"
"634000","0.05000000074505806","0.05000000074505806","0.05000000074505806","316","316","316"
"636000","0.05000000074505806","0.05000000074505806","0.05000000074505806","317","317","317"
"638000","0.05000000074505806","0.05000000074505806","0.05000000074505806","318","318","318"
"640000","0.05000000074505806","0.05000000074505806","0.05000000074505806","319","319","319"
"642000","0.05000000074505806","0.05000000074505806","0.05000000074505806","320","320","320"
"644000","0.05000000074505806","0.05000000074505806","0.05000000074505806","321","321","321"
"646000","0.05000000074505806","0.05000000074505806","0.05000000074505806","322","322","322"
"648000","0.05000000074505806","0.05000000074505806","0.05000000074505806","323","323","323"
"650000","0.05000000074505806","0.05000000074505806","0.05000000074505806","324","324","324"
"652000","0.05000000074505806","0.05000000074505806","0.05000000074505806","325","325","325"
"654000","0.05000000074505806","0.05000000074505806","0.05000000074505806","326","326","326"
